paper_id,title_short,publication_year,oa_category,text_richness,keyword_count,concept_count,abstract_word_count
1458,The rise of robots increases job insecurity and maladaptive ,2022,closed,3.6667,19,25,12
1628,Boosting efficient alkaline fresh water and seawater electro,2022,closed,2.4545,13,14,11
1932,Chemical transformations of 5-hydroxymethylfurfural into hig,2022,closed,1.9375,13,18,16
965,Exploring the opportunities and challenges of NLP models in ,2023,fully_open,1.9333,14,15,15
1134,Status and advances of deep eutectic solvents for metal sepa,2022,partially_open,1.8,13,14,15
1705,The Janus Effect of Generative AI: Charting the Path for Res,2023,closed,1.4444,12,14,18
1909,Modulating the electronic structure of Ni(OH) <sub>2</sub> b,2024,closed,1.4286,18,22,28
687,Perspective on the hydrogen economy as a pathway to reach ne,2022,partially_open,1.3478,14,17,23
721,Reflection on whether Chat GPT should be banned by academia ,2023,fully_open,1.3333,9,11,15
545,Manipulating the D:A interfacial energetics and intermolecul,2022,closed,1.2368,22,25,38
